label,potential_home_1,potential_home_2,overall_rating_home_3,overall_rating_home_4,overall_rating_home_5,ball_control_home_5,overall_rating_home_6,potential_home_6,overall_rating_home_7,overall_rating_home_8,overall_rating_home_9,positioning_home_10,overall_rating_home_11,overall_rating_away_1,overall_rating_away_2,overall_rating_away_3,potential_away_3,overall_rating_away_4,marking_away_4,standing_tackle_away_4,overall_rating_away_5,overall_rating_away_6,overall_rating_away_7,overall_rating_away_8,overall_rating_away_9,positioning_away_10,overall_rating_away_11,potential_away_11
1,70.0,76.0,67.0,66.0,66.0,64.0,68.0,68.0,67.88235294117646,71.0,69.0,71.0,65.0,65.0,56.0,64.0,64.0,64.0,60.0,68.0,63.0,61.0,63.0,57.0,68.0,71.0,66.0,66.0
2,68.0,65.0,64.0,62.0,57.0,41.0,61.36842105263158,64.57894736842105,61.0,61.0,62.0,54.0,65.0,65.0,56.0,64.0,64.0,64.0,64.0,62.0,63.0,61.0,63.0,57.0,68.0,53.0,66.0,66.0
0,66.0,60.0,67.0,64.0,61.0,55.0,62.0,64.0,66.0,54.0,64.0,64.0,65.2,65.0,56.0,64.0,72.0,64.0,61.0,61.0,62.0,65.0,61.0,63.0,68.0,62.0,66.0,66.0
0,60.0,65.0,62.0,63.0,61.0,54.0,68.0,70.0,58.0,66.0,56.0,69.0,59.45454545454545,65.0,56.0,64.0,64.0,64.0,61.0,61.0,62.0,64.0,63.0,68.0,61.0,62.0,66.0,66.0
1,79.0,66.78947368421052,65.0,67.0,59.0,51.0,64.0,64.0,56.0,61.0,63.0,58.0,63.38095238095238,65.0,56.0,64.0,64.0,64.0,64.0,62.0,62.0,63.0,61.0,64.0,68.0,71.0,66.0,66.0
2,65.0,61.0,65.0,65.0,67.0,57.0,65.0,65.0,61.0,60.0,57.0,68.0,62.0,67.0,64.0,66.0,66.0,61.0,63.0,66.0,64.0,62.0,62.0,64.0,65.0,61.0,63.0,65.0
1,86.0,72.0,69.0,66.0,64.0,61.0,70.0,75.0,67.0,71.0,71.0,53.0,68.0,67.0,64.0,66.0,66.0,61.0,63.0,66.0,64.0,62.0,62.0,64.0,65.0,61.0,63.0,65.0
1,63.0,65.0,66.0,68.0,65.0,48.0,65.0,65.0,55.0,62.0,63.0,61.0,64.0,67.0,66.0,61.0,65.0,60.0,68.0,68.0,64.0,62.0,62.0,65.0,64.0,58.0,67.0,75.0
1,66.0,64.0,66.0,67.0,60.0,55.0,68.0,76.0,67.0,69.0,69.0,70.0,66.0,67.0,64.0,66.0,66.0,61.0,63.0,66.0,60.0,62.0,62.0,64.0,65.0,72.0,67.0,75.0
0,70.0,68.0,68.0,70.0,70.0,65.0,70.0,70.0,73.0,70.0,71.0,73.0,71.0,67.0,64.0,61.0,68.0,61.0,58.0,66.0,64.0,62.0,62.0,64.0,65.0,69.0,67.0,75.0
0,66.0,70.0,69.0,66.0,64.0,55.0,66.0,66.0,64.0,64.0,62.0,73.0,66.0,67.0,64.0,66.0,66.0,61.0,58.0,66.0,60.0,62.0,62.0,64.0,65.0,72.0,67.0,75.0
2,61.0,62.0,60.0,60.0,63.0,55.0,58.0,61.0,57.0,65.0,60.0,50.0,62.0,67.0,60.0,66.0,66.0,61.0,58.0,66.0,61.0,62.0,62.0,64.0,65.0,72.0,67.0,75.0
1,66.0,64.0,63.0,68.0,67.0,63.0,72.0,72.0,67.0,68.0,65.0,67.0,67.0,67.0,60.0,66.0,66.0,61.0,58.0,66.0,61.0,62.0,62.0,64.0,64.0,72.0,67.0,75.0
0,68.0,68.0,53.0,62.0,64.0,63.0,58.0,58.0,59.0,65.0,63.0,60.0,64.0,67.0,64.0,64.0,71.0,66.0,62.0,70.0,61.0,65.0,62.0,62.0,64.0,62.0,67.0,75.0
2,65.0,62.0,66.0,63.0,64.0,56.0,65.0,65.0,62.0,65.0,63.0,59.0,64.0,67.0,64.0,66.0,66.0,61.0,63.0,66.0,64.0,62.0,62.0,64.0,65.0,69.0,67.0,75.0
1,65.0,72.0,68.0,69.0,69.0,68.0,72.0,80.0,68.0,71.0,68.0,85.0,71.0,67.0,64.0,66.0,66.0,61.0,63.0,66.0,64.0,62.0,62.0,64.0,65.0,62.0,67.0,75.0
2,71.0,68.0,67.0,68.0,65.0,65.0,68.0,70.0,70.0,68.0,67.0,68.0,62.53333333333333,67.0,64.0,66.0,66.0,61.0,63.0,66.0,64.0,62.0,62.0,64.0,65.0,69.0,67.0,75.0
0,61.0,66.0,71.0,66.0,65.0,60.0,66.0,67.0,66.0,64.0,65.0,63.0,63.0,67.0,64.0,66.0,66.0,61.0,63.0,66.0,64.0,62.0,63.0,64.0,65.0,72.0,67.0,75.0
